,precision,recall,f1-score,support
Normal,0.9895397489539749,0.9311023622047244,0.9594320486815415,508.0
Pneumonia,0.9336283185840708,0.9882903981264637,0.9601820250284414,427.0
TB,0.9858757062146892,1.0,0.9928876244665719,349.0
accuracy,0.9688473520249221,0.9688473520249221,0.9688473520249221,0.9688473520249221
macro avg,0.9696812579175784,0.973130920110396,0.9708338993921849,1284.0
weighted avg,0.9699502382966854,0.9688473520249221,0.9687749114923684,1284.0
