,precision,recall,f1-score,support
Normal,0.9818548387096774,0.9586614173228346,0.9701195219123506,508.0
Pneumonia,0.9699769053117783,0.9836065573770492,0.9767441860465117,427.0
TB,0.9774647887323944,0.994269340974212,0.9857954545454546,349.0
accuracy,0.9766355140186916,0.9766355140186916,0.9766355140186916,0.9766355140186916
macro avg,0.9764321775846166,0.9788457718913652,0.9775530541681056,1284.0
weighted avg,0.9767115326325944,0.9766355140186916,0.9765834098206372,1284.0
