,precision,recall,f1-score,support
Normal,0.9878787878787879,0.9625984251968503,0.9750747756729811,508.0
Pneumonia,0.965675057208238,0.9882903981264637,0.9768518518518519,427.0
TB,0.9886363636363636,0.997134670487106,0.9928673323823111,349.0
accuracy,0.9805295950155763,0.9805295950155763,0.9805295950155763,0.9805295950155763
macro avg,0.9807300695744633,0.9826744979368067,0.9815979866357146,1284.0
weighted avg,0.9807007512300879,0.9805295950155763,0.980501889239908,1284.0
