,precision,recall,f1-score,support
Normal,0.9878048780487805,0.9566929133858267,0.9719999999999999,508.0
Pneumonia,0.9546485260770975,0.9859484777517564,0.9700460829493087,427.0
TB,0.9943019943019943,1.0,0.9971428571428572,349.0
accuracy,0.9781931464174455,0.9781931464174455,0.9781931464174455,0.9781931464174455
macro avg,0.9789184661426241,0.9808804637125278,0.9797296466973887,1284.0
weighted avg,0.9785445441550601,0.9781931464174455,0.9781842169487632,1284.0
